DateTime,Open,Close,High,Low
2021-08-04,3379.35,3354.72,3388.88,3345.56
2021-08-05,3356.22,3375.99,3389,3340.92
2021-08-06,3375,3344.94,3375,3329.0373
2021-08-09,3343.61,3341.87,3354.88,3328.52
2021-08-10,3345.01,3320.68,3358,3315
2021-08-11,3331.4469,3292.11,3337.7,3277.79
2021-08-12,3290,3303.5,3314.51,3269.67
2021-08-13,3305.67,3293.97,3306.065,3283
2021-08-16,3283,3298.99,3300,3211.13
2021-08-17,3277.5,3241.96,3280.49,3225.68
2021-08-18,3241.99,3201.22,3254.0975,3200
2021-08-19,3194.02,3187.75,3233,3182.4637
2021-08-20,3203.8725,3199.95,3207.81,3175.76
2021-08-23,3211.9,3265.87,3280.9,3210.005
2021-08-24,3280,3305.78,3315.4942,3274.58
2021-08-25,3309.87,3299.18,3321,3286.15
2021-08-26,3299,3316,3332,3296
2021-08-27,3333.23,3349.63,3352.32,3313.75
2021-08-30,3357.425,3421.57,3445,3355.22
2021-08-31,3424.8,3470.79,3472.58,3395.59
2021-09-01,3496.396,3479,3527,3475.24
2021-09-02,3494.76,3463.12,3511.9608,3455
2021-09-03,3452,3478.05,3482.67,3436.44
2021-09-07,3478,3509.29,3528.09,3476.94
2021-09-08,3511.65,3525.5,3545.63,3495.67
2021-09-09,3526.02,3484.16,3549.99,3480.37
2021-09-10,3501.8308,3469.15,3508.45,3462.9055
2021-09-13,3482.8,3457.17,3497.96,3438.0001
2021-09-14,3475.55,3450,3486.806,3437.7104
2021-09-15,3442.52,3475.79,3485.42,3402.01
2021-09-16,3459.96,3488.24,3492.55,3446.1432
2021-09-17,3488.4146,3462.52,3497.41,3452.13
2021-09-20,3396,3355.73,3419,3305.01
2021-09-21,3375,3343.63,3379.7,3332.39
2021-09-22,3351,3380.05,3389,3341.05
2021-09-23,3380.05,3416,3428.96,3380.05
2021-09-24,3402.01,3425.52,3429.26,3393.4
2021-09-27,3371.5,3405.8,3415.57,3339.61
2021-09-28,3357.71,3315.96,3369.19,3290.1001
2021-09-29,3322.11,3301.12,3351.3,3297.87
2021-09-30,3316,3285.04,3327.85,3273.99
